key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.873124,,,0.904314,,,318.000000,0,0,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.834515,,,0.844525,,,379.000000,0,0,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.841594,,,0.899155,,,224.000000,0,0,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.889174,,,0.907049,,,229.000000,0,0,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.831561,,,0.831633,,,407.000000,0,0,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.896328,,,0.922959,,,179.000000,0,0,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.898856,,,0.922694,,,197.000000,0,0,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.899925,,,0.915701,,,181.000000,0,0,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.908769,,,0.937061,,,189.000000,0,0,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.899102,,,0.926555,,,199.000000,0,0,70374,82981,
test_048_d,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.863035,,,0.908642,,,201.000000,0,0,153827,243151,
test_052_n,square,test,expert,1279,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.908446,,,0.940593,,,167.000000,0,0,60160,75810,
test_064_d,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.895635,,,0.912423,,,290.000000,0,0,78097,84788,
test_074_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.902788,,,0.933063,,,240.000000,0,0,70534,78379,
test_077_g,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.869164,,,0.890910,,,309.000000,0,0,64176,82226,
test_078_d,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.901313,,,0.914869,,,141.000000,0,0,72562,95163,
