key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
test_bosch_p10_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",670.000000,369.000000,119.652095,636.841163,724.527470,239.000000,223.000000,115.047650,635.521307,727.551729,0.959900,3.299722,0.014341,431.000000,146.000000,4.604445,134.000000,130.000000,65.482459,653.030362,725.968525,140.000000,118.000000,63.294931,661.653663,727.458287,0.900027,8.751041,0.038032,-6.000000,12.000000,2.187529,0.352304,0.529148,-0.176844,0.299509,0.302679,-0.003170,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",670.000000,369.000000,119.652095,636.841163,724.527470,251.000000,228.000000,119.057371,637.330938,724.683322,0.981544,0.513974,0.002159,419.000000,141.000000,0.594724,134.000000,130.000000,65.482459,653.030362,725.968525,167.000000,153.000000,79.929955,640.056599,719.895969,0.803053,14.324610,0.060158,-33.000000,-23.000000,-14.447496,0.352304,0.671053,-0.318749,0.299509,0.450720,-0.151211,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",670.000000,369.000000,119.652095,636.841163,724.527470,249.000000,227.000000,116.811771,636.799170,726.436163,0.973294,1.909155,0.008172,421.000000,142.000000,2.840323,134.000000,130.000000,65.482459,653.030362,725.968525,138.000000,139.000000,68.907391,667.531876,730.005497,0.849443,15.052942,0.064432,-4.000000,-9.000000,-3.424932,0.352304,0.612335,-0.260031,0.299509,0.347983,-0.048475,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",670.000000,369.000000,119.652095,636.841163,724.527470,243.000000,227.000000,118.932984,635.479882,722.626626,0.977823,2.338011,0.009829,427.000000,142.000000,0.719110,134.000000,130.000000,65.482459,653.030362,725.968525,147.000000,131.000000,68.061471,659.053391,721.817907,0.924065,7.314678,0.030751,-13.000000,-1.000000,-2.579011,0.352304,0.577093,-0.224789,0.299509,0.327490,-0.027981,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",670.000000,369.000000,119.652095,636.841163,724.527470,254.000000,231.000000,120.888069,636.193418,726.495894,0.963670,2.072262,0.008571,416.000000,138.000000,-1.235974,134.000000,130.000000,65.482459,653.030362,725.968525,114.000000,126.000000,59.913109,645.307972,727.347078,0.889284,7.844470,0.032445,20.000000,4.000000,5.569351,0.352304,0.545455,-0.193151,0.299509,0.245627,0.053881,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",196.000000,234.000000,106.940346,716.377728,835.116511,198.000000,227.000000,104.429953,713.363708,836.495578,0.962772,3.314535,0.015870,-2.000000,7.000000,2.510393,97.000000,108.000000,50.792732,727.722887,841.375694,95.000000,114.000000,52.174574,733.653531,837.971469,0.891157,6.838223,0.032741,2.000000,-6.000000,-1.381842,0.461538,0.502203,-0.040664,0.225590,0.249613,-0.024023,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",196.000000,234.000000,106.940346,716.377728,835.116511,200.000000,221.000000,104.457382,716.723125,832.741183,0.967112,2.400309,0.011489,-4.000000,13.000000,2.482964,97.000000,108.000000,50.792732,727.722887,841.375694,115.000000,151.000000,66.686636,725.128624,832.547062,0.734282,9.201899,0.044046,-18.000000,-43.000000,-15.893904,0.461538,0.683258,-0.221719,0.225590,0.407567,-0.181977,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",196.000000,234.000000,106.940346,716.377728,835.116511,195.000000,224.000000,104.379647,716.272905,836.057614,0.973773,0.946923,0.004536,1.000000,10.000000,2.560699,97.000000,108.000000,50.792732,727.722887,841.375694,107.000000,113.000000,54.598279,740.072290,840.006300,0.838237,12.425096,0.059519,-10.000000,-5.000000,-3.805547,0.461538,0.504464,-0.042926,0.225590,0.273606,-0.048016,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",196.000000,234.000000,106.940346,716.377728,835.116511,206.000000,222.000000,106.174124,715.261669,832.004631,0.966009,3.305962,0.015569,-10.000000,12.000000,0.766222,97.000000,108.000000,50.792732,727.722887,841.375694,100.000000,129.000000,55.408473,730.611405,844.867392,0.888338,4.531610,0.021340,-3.000000,-21.000000,-4.615741,0.461538,0.581081,-0.119543,0.225590,0.272342,-0.046752,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",196.000000,234.000000,106.940346,716.377728,835.116511,190.000000,242.000000,106.968619,714.964142,836.336607,0.975694,1.867313,0.008728,6.000000,-8.000000,-0.028273,97.000000,108.000000,50.792732,727.722887,841.375694,90.000000,129.000000,53.793635,725.280387,838.011110,0.901140,4.157671,0.019434,7.000000,-21.000000,-3.000903,0.461538,0.533058,-0.071519,0.225590,0.252900,-0.027310,0.000000,
