key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_100_d,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.868051,,,0.917574,,,38.000000,113752,150810,0,0,
test_101_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.755148,,,0.787182,,,54.000000,59418,87206,0,0,
test_102_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.792693,,,0.807155,,,79.000000,73457,118417,0,0,
test_103_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.803131,,,0.828148,,,108.000000,108638,145663,0,0,
test_104_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.810849,,,0.892962,,,61.000000,76835,122551,0,0,
test_105_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.868726,,,0.908190,,,64.000000,126455,156453,0,0,
test_106_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.902862,,,0.929835,,,49.000000,145112,175634,0,0,
test_107_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.876190,,,0.915322,,,62.000000,152445,175456,0,0,
test_108_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.778782,,,0.775726,,,28.000000,38219,61564,0,0,
test_109_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.875338,,,0.935701,,,52.000000,127179,159696,0,0,
test_10_a,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.828759,,,0.890523,,,52.000000,103585,123631,0,0,
test_110_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.857750,,,0.921733,,,64.000000,113391,140878,0,0,
test_111_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.810358,,,0.837597,,,71.000000,91820,116976,0,0,
test_112_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.806311,,,0.853381,,,91.000000,98142,125551,0,0,
test_113_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.451002,,,0.494197,,,132.000000,82774,86974,0,0,
test_114_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.583805,,,0.606959,,,77.000000,45112,88447,0,0,
test_115_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.839858,,,0.871848,,,62.000000,102973,149280,0,0,
test_116_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.816436,,,0.824759,,,88.000000,81830,135763,0,0,
test_117_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.837507,,,0.880203,,,67.000000,91128,129988,0,0,
test_118_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.878623,,,0.924830,,,77.000000,151428,164882,0,0,
test_119_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.599723,,,0.610466,,,51.000000,41935,44341,0,0,
test_11_a,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.834399,,,0.888149,,,56.000000,134434,122813,0,0,
