key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
ret002_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",519.000000,539.000000,261.617332,1168.936992,1252.923831,490.000000,523.000000,250.190569,1165.458014,1263.915301,0.953358,11.528907,0.023040,29.000000,16.000000,11.426763,274.000000,299.000000,142.283199,1155.223821,1249.536730,220.000000,272.000000,118.447569,1141.009279,1249.211090,0.818678,14.218271,0.028415,54.000000,27.000000,23.835630,0.554731,0.520076,0.034655,0.295784,0.224135,0.071648,0.000000,
ret002_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",519.000000,539.000000,261.617332,1168.936992,1252.923831,503.000000,534.000000,252.987919,1166.637422,1261.184761,0.962607,8.575021,0.016947,16.000000,5.000000,8.629413,274.000000,299.000000,142.283199,1155.223821,1249.536730,247.000000,275.000000,127.600427,1159.657367,1239.735098,0.884733,10.757710,0.021261,27.000000,24.000000,14.682772,0.554731,0.514981,0.039750,0.295784,0.254393,0.041391,0.000000,
ret002_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",520.000000,540.000000,263.067876,1154.291073,1088.710022,481.000000,498.000000,242.229264,1160.319124,1099.857096,0.917659,12.672594,0.026158,39.000000,42.000000,20.838612,252.000000,242.000000,126.900021,1162.916072,1087.059101,246.000000,214.000000,114.383090,1166.587792,1084.384522,0.893537,4.542565,0.009377,6.000000,28.000000,12.516932,0.448148,0.429719,0.018429,0.232695,0.222982,0.009713,0.000000,
ret002_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",520.000000,540.000000,263.067876,1154.291073,1088.710022,501.000000,514.000000,251.262070,1157.095020,1091.974624,0.953780,4.303458,0.008564,19.000000,26.000000,11.805806,252.000000,242.000000,126.900021,1162.916072,1087.059101,256.000000,244.000000,126.195729,1164.819152,1090.936140,0.963467,4.318928,0.008594,-4.000000,-2.000000,0.704293,0.448148,0.474708,-0.026560,0.232695,0.252252,-0.019557,0.000000,
ret004_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",430.000000,469.000000,226.251982,1183.147353,1272.968443,431.000000,466.000000,219.200541,1188.708798,1280.544617,0.956282,9.398303,0.021438,-1.000000,3.000000,7.051440,260.000000,265.000000,131.672711,1170.150015,1268.633455,239.000000,280.000000,130.234950,1164.296068,1291.014451,0.884133,23.133907,0.052769,21.000000,-15.000000,1.437761,0.565032,0.600858,-0.035826,0.338693,0.352998,-0.014304,0.000000,
ret004_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",430.000000,469.000000,226.251982,1183.147353,1272.968443,428.000000,474.000000,219.574874,1181.368558,1276.762244,0.963713,4.190112,0.009541,2.000000,-5.000000,6.677108,260.000000,265.000000,131.672711,1170.150015,1268.633455,293.000000,305.000000,148.806005,1187.190426,1285.313563,0.862577,23.845369,0.054299,-33.000000,-40.000000,-17.133294,0.565032,0.643460,-0.078428,0.338693,0.459278,-0.120585,0.000000,
ret004_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",431.000000,484.000000,231.502049,1178.869821,1191.919765,420.000000,446.000000,214.690261,1179.545386,1204.850499,0.921110,12.948370,0.030156,11.000000,38.000000,16.811789,231.000000,302.000000,133.481819,1203.143725,1203.943832,257.000000,332.000000,145.189780,1200.977803,1220.201948,0.900540,16.401754,0.038199,-26.000000,-30.000000,-11.707961,0.623967,0.744395,-0.120428,0.332456,0.457349,-0.124892,0.000000,
ret004_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",431.000000,484.000000,231.502049,1178.869821,1191.919765,415.000000,440.000000,210.966924,1179.214199,1208.063959,0.907015,16.147867,0.038271,16.000000,44.000000,20.535125,231.000000,302.000000,133.481819,1203.143725,1203.943832,272.000000,330.000000,146.392793,1195.085998,1216.840213,0.896433,15.206696,0.036040,-41.000000,-28.000000,-12.910974,0.623967,0.750000,-0.126033,0.332456,0.481516,-0.149060,0.000000,
ret005_od,main,unspecified,2384,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",500.000000,530.000000,247.948966,1145.452902,1197.475357,489.000000,455.000000,233.891119,1138.437900,1181.629119,0.939080,17.329556,0.037046,11.000000,75.000000,14.057847,342.000000,316.000000,166.017518,1147.768374,1197.785421,348.000000,316.000000,164.457151,1149.070403,1178.891571,0.918476,18.938660,0.040486,-6.000000,0.000000,1.560368,0.596226,0.694505,-0.098279,0.448315,0.494400,-0.046085,0.000000,
ret005_od,main,unspecified,2384,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",500.000000,530.000000,247.948966,1145.452902,1197.475357,495.000000,471.000000,241.055570,1138.618397,1178.634661,0.949310,20.042013,0.041571,5.000000,59.000000,6.893396,342.000000,316.000000,166.017518,1147.768374,1197.785421,377.000000,380.000000,190.619281,1145.319188,1206.909034,0.862688,9.446630,0.019594,-35.000000,-64.000000,-24.601762,0.596226,0.806794,-0.210568,0.448315,0.625316,-0.177001,0.000000,
