key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_100_d,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.769386,,,0.798363,,,71.000000,86070,104860,0,0,
test_101_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.406485,,,0.456442,,,68.000000,10999,29758,0,0,
test_102_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.489742,,,0.489763,,,78.000000,20253,53332,0,0,
test_103_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.393447,,,0.410572,,,101.000000,17360,66022,0,0,
test_104_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.716189,,,0.744192,,,120.000000,39039,118394,0,0,
test_105_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.819094,,,0.834247,,,69.000000,98852,148921,0,0,
test_106_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.901803,,,0.900681,,,90.000000,140625,180826,0,0,
test_107_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.883132,,,0.879712,,,115.000000,150780,197240,0,0,
test_108_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.326447,,,0.376334,,,28.000000,2883,18724,0,0,
test_109_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.885963,,,0.917148,,,90.000000,123855,178804,0,0,
test_10_a,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.743194,,,0.788256,,,71.000000,73250,104154,0,0,
test_110_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.846989,,,0.870295,,,126.000000,95152,149560,0,0,
test_111_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.569063,,,0.556491,,,94.000000,36223,75121,0,0,
test_112_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.632816,,,0.631875,,,89.000000,49295,97826,0,0,
test_113_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,67.000000,0,1711,0,0,
test_114_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,86.000000,0,2224,0,0,
test_115_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.829401,,,0.822536,,,90.000000,80206,160927,0,0,
test_116_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.493139,,,0.479055,,,64.000000,23100,59838,0,0,
test_117_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.794239,,,0.785061,,,127.000000,69739,127130,0,0,
test_118_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.881185,,,0.865670,,,149.000000,146454,176867,0,0,
test_119_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.158737,,,0.180150,,,32.000000,1502,6664,0,0,
test_11_a,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.728297,,,0.762603,,,75.000000,89340,104104,0,0,
test_120_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.852587,,,0.895116,,,70.000000,109861,147628,0,0,
test_121_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.237188,,,0.273326,,,42.000000,0,18008,0,0,
test_122_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,7.000000,0,133,0,0,
test_123_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,15.000000,16,717,0,0,
test_124_g,main,test,expert,2012,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.597137,,,0.631336,,,46.000000,33297,78030,0,0,
test_125_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.832052,,,0.846995,,,80.000000,92597,162729,0,0,
test_126_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.655693,,,0.714084,,,140.000000,35613,84465,0,0,
test_127_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.529236,,,0.549616,,,113.000000,9205,69710,0,0,
test_128_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.704215,,,0.770413,,,138.000000,61858,103279,0,0,
test_129_g,main,test,expert,2010,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.613298,,,0.616378,,,100.000000,47338,53387,0,0,
test_12_a,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.845702,,,0.893208,,,62.000000,112299,150665,0,0,
test_130_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.809769,,,0.828764,,,130.000000,96301,143904,0,0,
test_131_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.895095,,,0.910521,,,72.000000,136835,171655,0,0,
test_132_g,main,test,expert,2020,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.647591,,,0.659802,,,90.000000,22387,103560,0,0,
test_133_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.196222,,,0.165260,,,81.000000,2744,16039,0,0,
test_134_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.807319,,,0.808464,,,106.000000,100777,135710,0,0,
test_135_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.199533,,,0.233077,,,70.000000,0,20999,0,0,
test_136_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,37.000000,0,0,0,0,
test_137_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,56.000000,0,0,0,0,
