key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.481754,0.543145,0.593666,0.628571,0.613992,0.732076,44.000000,47.000000,74.000000,34182,36845,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.531895,0.555953,0.702876,0.591648,0.569605,0.758169,29.000000,39.000000,56.000000,36258,32371,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.461455,0.580015,0.584251,0.476584,0.570456,0.599904,17.000000,24.000000,33.000000,14023,26763,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.552078,0.518296,0.636307,0.565845,0.498211,0.648189,17.000000,44.000000,59.000000,22692,28245,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.486684,0.496049,0.608308,0.511438,0.557687,0.665988,45.000000,62.000000,123.000000,44978,37346,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.488727,0.413900,0.604855,0.629203,0.523456,0.765728,35.000000,66.000000,82.000000,47177,32113,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.520980,0.499765,0.614474,0.621069,0.567077,0.711713,30.000000,37.000000,67.000000,27445,29386,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.518004,0.561638,0.648982,0.575529,0.591093,0.726519,29.000000,44.000000,71.000000,34523,37365,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.524703,0.585637,0.627647,0.577145,0.571492,0.664292,41.000000,39.000000,82.000000,29395,41987,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.511367,0.539955,0.652632,0.575795,0.595108,0.743922,26.000000,41.000000,54.000000,26394,26263,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.398992,0.538106,0.585677,0.462022,0.592358,0.671453,41.000000,48.000000,82.000000,24321,32674,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.462280,0.407582,0.579892,0.519602,0.459318,0.642551,29.000000,50.000000,86.000000,32258,26663,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.517481,0.516650,0.573019,0.606502,0.614852,0.663859,19.000000,28.000000,56.000000,20699,27635,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.455248,0.513413,0.598162,0.511818,0.563175,0.691852,29.000000,39.000000,69.000000,30192,33663,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.479044,0.561041,0.590011,0.554554,0.579194,0.651355,29.000000,33.000000,57.000000,19526,28295,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.315018,0.526367,0.515529,0.377468,0.544405,0.575804,38.000000,40.000000,64.000000,18007,28391,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.391363,0.674212,0.639096,0.466986,0.708399,0.690565,38.000000,31.000000,58.000000,16726,33492,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.319276,0.573756,0.549487,0.305389,0.551266,0.561718,35.000000,20.000000,46.000000,10570,27835,25543,43739,
im000938,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.356518,0.508871,0.492590,0.385628,0.496833,0.515301,24.000000,31.000000,60.000000,8678,22829,31679,51457,
im001031,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.251938,0.401470,0.563041,0.317422,0.443936,0.640851,20.000000,41.000000,50.000000,23087,24263,43612,58179,
im001032,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.251938,0.401470,0.563041,0.317422,0.443936,0.640851,20.000000,41.000000,50.000000,23087,24263,43612,58179,
im001034,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.255065,0.504328,0.516121,0.289872,0.530201,0.586050,20.000000,34.000000,53.000000,15448,24002,34210,48657,
im001069,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.519157,0.576977,0.603739,0.578227,0.644993,0.685630,26.000000,26.000000,62.000000,23325,30929,53619,59643,
