key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
img_00000,main,unspecified,bad,published,0.0061,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.406506,
img_00001,main,unspecified,bad,published,0.0062,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.050203,
img_00002,main,unspecified,bad,published,0.0377,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.026817,
img_00003,main,unspecified,usable,published,0.0067,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.014178,
img_00004,main,unspecified,bad,published,0.0051,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.002560,
img_00005,main,unspecified,usable,published,0.0459,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.235537,
img_00006,main,unspecified,bad,published,0.0051,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.000956,
img_00007,main,unspecified,good,published,0.0362,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.958672,
img_00016,main,unspecified,good,published,0.0391,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.964728,
img_00026,main,unspecified,usable,published,0.0348,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.787355,
img_00046,main,unspecified,good,published,0.0377,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.908575,
img_00047,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.877521,
img_00048,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=good;level3=usable,graded,,true,0.959195,
img_00049,main,unspecified,good,published,0.0362,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.969620,
img_00056,main,unspecified,good,published,0.0372,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.881083,
img_00057,main,unspecified,good,published,0.0391,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.963781,
img_00058,main,unspecified,usable,published,0.0348,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.898263,
img_00059,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.895522,
img_00060,main,unspecified,good,published,0.0372,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.962119,
img_00073,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.572636,
img_00074,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.792238,
img_00077,main,unspecified,usable,published,0.0367,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.453561,
img_00082,main,unspecified,usable,published,0.0367,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.263142,
img_00084,main,unspecified,good,published,0.0367,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.748396,
img_00085,main,unspecified,usable,published,0.0367,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.653362,
img_00086,main,unspecified,usable,published,0.0358,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.817209,
img_00087,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.812801,
img_00089,main,unspecified,good,published,0.0358,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.822886,
img_00090,main,unspecified,usable,published,0.0372,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.611932,
img_00096,main,unspecified,bad,published,0.0358,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.074561,
img_00097,main,unspecified,bad,published,0.0358,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.007806,
img_00098,main,unspecified,good,published,0.0377,consensus=good;level1=good;level2=usable;level3=good,graded,,true,0.775276,
img_00099,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.884048,
img_00100,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.295082,
img_00101,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.740167,
img_00102,main,unspecified,usable,published,0.0367,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.560668,
img_00103,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.507752,
img_00104,main,unspecified,good,published,0.0377,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.940500,
img_00105,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.898830,
img_00106,main,unspecified,bad,published,0.0372,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.207229,
img_00107,main,unspecified,usable,published,0.0367,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.766213,
img_00110,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.141732,
img_00111,main,unspecified,usable,published,0.0367,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.145665,
img_00112,main,unspecified,bad,published,0.0362,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.520728,
img_00113,main,unspecified,bad,published,0.0372,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.657611,
img_00114,main,unspecified,bad,published,0.0362,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.548039,
img_00115,main,unspecified,bad,published,0.0358,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.140289,
img_00116,main,unspecified,bad,published,0.0377,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.024161,
