key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_100_d,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.885768,,,0.926885,,,77.000000,98778,158017,0,0,
test_101_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.790194,,,0.830705,,,79.000000,40404,96520,0,0,
test_102_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.792059,,,0.828695,,,98.000000,73799,115811,0,0,
test_103_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.783142,,,0.846666,,,127.000000,96736,134707,0,0,
test_104_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.839570,,,0.914850,,,96.000000,91204,131698,0,0,
test_105_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.882411,,,0.925286,,,93.000000,135782,161749,0,0,
test_106_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.913497,,,0.929537,,,97.000000,158023,182083,0,0,
test_107_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.891744,,,0.926624,,,155.000000,159049,189242,0,0,
test_108_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.738710,,,0.791984,,,50.000000,17042,52271,0,0,
test_109_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.893834,,,0.938152,,,116.000000,141268,164182,0,0,
test_10_a,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.850985,,,0.902906,,,66.000000,119656,138379,0,0,
test_110_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.883932,,,0.936241,,,104.000000,125638,150885,0,0,
test_111_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.818571,,,0.863884,,,84.000000,92382,115828,0,0,
test_112_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.883694,,,0.922971,,,90.000000,129820,145805,0,0,
test_113_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.694009,,,0.727009,,,62.000000,11748,50594,0,0,
test_114_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.720550,,,0.820774,,,26.000000,8410,53684,0,0,
test_115_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.868079,,,0.898240,,,108.000000,108397,162507,0,0,
test_116_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.829774,,,0.839766,,,82.000000,90407,132603,0,0,
test_117_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.871468,,,0.924855,,,99.000000,107913,142340,0,0,
test_118_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.892096,,,0.921214,,,108.000000,160985,171897,0,0,
test_119_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.603390,,,0.620565,,,41.000000,15270,28672,0,0,
test_11_a,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.868725,,,0.919688,,,75.000000,145933,139059,0,0,
test_120_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.887151,,,0.934303,,,104.000000,143240,155978,0,0,
test_121_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.735985,,,0.798050,,,72.000000,25818,62525,0,0,
test_122_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.000000,,,0.000000,,,7.000000,0,0,0,0,
test_123_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.029500,,,0.038709,,,23.000000,0,1124,0,0,
test_124_g,main,test,expert,2012,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.868962,,,0.908114,,,47.000000,89657,126482,0,0,
test_125_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.892455,,,0.921570,,,95.000000,122369,181942,0,0,
test_126_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.847693,,,0.906907,,,117.000000,88490,126193,0,0,
test_127_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.813093,,,0.851070,,,90.000000,68476,105870,0,0,
test_128_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.837256,,,0.909877,,,129.000000,104282,129681,0,0,
test_129_g,main,test,expert,2010,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.797816,,,0.845132,,,101.000000,76731,94693,0,0,
test_12_a,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.905247,,,0.956305,,,68.000000,136151,172089,0,0,
test_130_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.856984,,,0.908100,,,137.000000,122496,149746,0,0,
test_131_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.894971,,,0.947551,,,91.000000,143503,159465,0,0,
test_132_g,main,test,expert,2020,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.832869,,,0.885731,,,104.000000,84143,123729,0,0,
test_133_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.725261,,,0.699273,,,59.000000,17401,78215,0,0,
test_134_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.866788,,,0.909738,,,106.000000,130504,150539,0,0,
test_135_g,main,test,expert,2019,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.671306,,,0.735501,,,79.000000,38312,63182,0,0,
test_136_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.578210,,,0.588499,,,62.000000,3107,39469,0,0,
test_137_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.737303,,,0.669095,,,77.000000,15991,55018,0,0,
test_138_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.708319,,,0.688316,,,22.000000,12,53080,0,0,
test_139_g,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.897537,,,0.921309,,,125.000000,151525,207457,0,0,
test_13_a,main,test,expert,2018,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.916126,,,0.953499,,,40.000000,148833,185620,0,0,
test_140_g,main,test,expert,2013,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.830680,,,0.868320,,,87.000000,73629,93996,0,0,
test_141_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.850488,,,0.903515,,,143.000000,120655,138328,0,0,
test_142_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.886862,,,0.925780,,,155.000000,162173,174368,0,0,
test_143_g,main,test,expert,2017,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.880289,,,0.931295,,,114.000000,160066,178407,0,0,
test_144_g,main,test,expert,2012,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.777521,,,0.815942,,,84.000000,40235,84468,0,0,
test_145_g,main,test,expert,2012,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.762465,,,0.781618,,,67.000000,37077,102282,0,0,
test_146_g,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.880079,,,0.920970,,,155.000000,157889,186790,0,0,
test_147_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.840755,,,0.913739,,,113.000000,98465,136799,0,0,
test_148_g,main,test,expert,2021,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.836321,,,0.883031,,,55.000000,35559,84132,0,0,
test_149_g,main,test,expert,2016,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.733615,,,0.753414,,,31.000000,7121,72024,0,0,
test_14_a,main,test,expert,2015,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.919684,,,0.952038,,,60.000000,136537,183858,0,0,
test_150_g,main,test,expert,2014,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",,,0.892781,,,0.942364,,,90.000000,123081,168783,0,0,
