key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
test_bosch_p10_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",238.000000,221.000000,113.497501,637.747609,724.549853,239.000000,223.000000,115.047650,635.521307,727.551729,0.973248,3.737336,0.016243,-1.000000,-2.000000,-1.550148,141.000000,126.000000,64.005064,648.418648,723.740171,140.000000,118.000000,63.294931,661.653663,727.458287,0.870836,13.747363,0.059746,1.000000,8.000000,0.710134,0.570136,0.529148,0.040988,0.318021,0.302679,0.015342,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",238.000000,221.000000,113.497501,637.747609,724.549853,251.000000,228.000000,119.057371,637.330938,724.683322,0.952212,0.437526,0.001837,-13.000000,-7.000000,-5.559870,141.000000,126.000000,64.005064,648.418648,723.740171,167.000000,153.000000,79.929955,640.056599,719.895969,0.781397,9.203355,0.038651,-26.000000,-27.000000,-15.924891,0.570136,0.671053,-0.100917,0.318021,0.450720,-0.132699,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",238.000000,221.000000,113.497501,637.747609,724.549853,249.000000,227.000000,116.811771,636.799170,726.436163,0.962729,2.111327,0.009037,-11.000000,-6.000000,-3.314270,141.000000,126.000000,64.005064,648.418648,723.740171,138.000000,139.000000,68.907391,667.531876,730.005497,0.797279,20.113921,0.086095,3.000000,-13.000000,-4.902327,0.570136,0.612335,-0.042199,0.318021,0.347983,-0.029962,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",238.000000,221.000000,113.497501,637.747609,724.549853,243.000000,227.000000,118.932984,635.479882,722.626626,0.953255,2.973447,0.012501,-5.000000,-6.000000,-5.435483,141.000000,126.000000,64.005064,648.418648,723.740171,147.000000,131.000000,68.061471,659.053391,721.817907,0.890493,10.807074,0.045433,-6.000000,-5.000000,-4.056406,0.570136,0.577093,-0.006957,0.318021,0.327490,-0.009469,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",238.000000,221.000000,113.497501,637.747609,724.549853,254.000000,231.000000,120.888069,636.193418,726.495894,0.935818,2.490500,0.010301,-16.000000,-10.000000,-7.390568,141.000000,126.000000,64.005064,648.418648,723.740171,114.000000,126.000000,59.913109,645.307972,727.347078,0.899573,4.762991,0.019700,27.000000,0.000000,4.091956,0.570136,0.545455,0.024681,0.318021,0.245627,0.072394,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",185.000000,222.000000,102.975032,717.075436,835.833008,198.000000,227.000000,104.429953,713.363708,836.495578,0.955811,3.770401,0.018052,-13.000000,-5.000000,-1.454921,112.000000,114.000000,55.720684,720.041726,836.622309,95.000000,114.000000,52.174574,733.653531,837.971469,0.829018,13.678504,0.065491,17.000000,0.000000,3.546110,0.513514,0.502203,0.011311,0.292799,0.249613,0.043185,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",185.000000,222.000000,102.975032,717.075436,835.833008,200.000000,221.000000,104.457382,716.723125,832.741183,0.968192,3.111834,0.014895,-15.000000,1.000000,-1.482350,112.000000,114.000000,55.720684,720.041726,836.622309,115.000000,151.000000,66.686636,725.128624,832.547062,0.811970,6.517987,0.031199,-3.000000,-37.000000,-10.965952,0.513514,0.683258,-0.169744,0.292799,0.407567,-0.114769,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",185.000000,222.000000,102.975032,717.075436,835.833008,195.000000,224.000000,104.379647,716.272905,836.057614,0.972920,0.833369,0.003992,-10.000000,-2.000000,-1.404615,112.000000,114.000000,55.720684,720.041726,836.622309,107.000000,113.000000,54.598279,740.072290,840.006300,0.756525,20.314401,0.097310,5.000000,1.000000,1.122405,0.513514,0.504464,0.009049,0.292799,0.273606,0.019192,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",185.000000,222.000000,102.975032,717.075436,835.833008,206.000000,222.000000,106.174124,715.261669,832.004631,0.953090,4.236298,0.019950,-21.000000,0.000000,-3.199092,112.000000,114.000000,55.720684,720.041726,836.622309,100.000000,129.000000,55.408473,730.611405,844.867392,0.821486,13.405204,0.063128,12.000000,-15.000000,0.312211,0.513514,0.581081,-0.067568,0.292799,0.272342,0.020456,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",185.000000,222.000000,102.975032,717.075436,835.833008,190.000000,242.000000,106.968619,714.964142,836.336607,0.952296,2.170524,0.010146,-5.000000,-20.000000,-3.993587,112.000000,114.000000,55.720684,720.041726,836.622309,90.000000,129.000000,53.793635,725.280387,838.011110,0.865269,5.419625,0.025333,22.000000,-15.000000,1.927049,0.513514,0.533058,-0.019544,0.292799,0.252900,0.039899,0.000000,
