key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
img_00000,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.406506,
img_00001,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.050203,
img_00002,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.026817,
img_00003,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.014178,
img_00004,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.002560,
img_00005,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.235537,
img_00006,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.000956,
img_00007,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.958672,
img_00016,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.964728,
img_00026,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.787355,
img_00046,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.908575,
img_00047,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.877521,
img_00048,usable,consensus=usable;level1=usable;level2=good;level3=usable,graded,,true,0.959195,
img_00049,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.969620,
img_00056,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.881083,
img_00057,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.963781,
img_00058,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.898263,
img_00059,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.895522,
img_00060,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.962119,
img_00073,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.572636,
img_00074,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.792238,
img_00077,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.453561,
img_00082,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.263142,
img_00084,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.748396,
img_00085,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.653362,
img_00086,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.817209,
img_00087,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.812801,
img_00089,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.822886,
img_00090,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.611932,
img_00096,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.074561,
img_00097,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.007806,
img_00098,good,consensus=good;level1=good;level2=usable;level3=good,graded,,true,0.775276,
img_00099,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.884048,
img_00100,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.295082,
img_00101,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.740167,
img_00102,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.560668,
img_00103,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.507752,
img_00104,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.940500,
img_00105,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.898830,
img_00106,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.207229,
img_00107,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.766213,
img_00110,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.141732,
img_00111,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.145665,
img_00112,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.520728,
img_00113,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,true,0.657611,
img_00114,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.548039,
img_00115,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.140289,
img_00116,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.024161,
img_00117,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.025172,
img_00118,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.685018,
img_00119,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.813685,
img_00120,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.503057,
img_00121,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.408945,
img_00122,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,true,0.014432,
img_00127,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.071461,
img_00131,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.226058,
img_00132,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.109669,
img_00133,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.516262,
img_00134,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,true,0.260859,
img_00139,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.922698,
img_00140,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.743037,
img_00147,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.879801,
img_00148,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.722658,
img_00155,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.479158,
img_00156,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.889824,
