key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
test_bosch_p10_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,224.000000,117.484268,637.280960,725.619090,239.000000,223.000000,115.047650,635.521307,727.551729,0.970639,2.613708,0.011359,7.000000,1.000000,2.436619,106.000000,123.000000,57.130986,656.549542,724.691633,140.000000,118.000000,63.294931,661.653663,727.458287,0.879510,5.805724,0.025232,-34.000000,5.000000,-6.163944,0.549107,0.529148,0.019959,0.236474,0.302679,-0.066205,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,224.000000,117.484268,637.280960,725.619090,251.000000,228.000000,119.057371,637.330938,724.683322,0.979373,0.937102,0.003936,-5.000000,-4.000000,-1.573103,106.000000,123.000000,57.130986,656.549542,724.691633,167.000000,153.000000,79.929955,640.056599,719.895969,0.676274,17.176016,0.072133,-61.000000,-30.000000,-22.798969,0.549107,0.671053,-0.121945,0.236474,0.450720,-0.214245,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,224.000000,117.484268,637.280960,725.619090,249.000000,227.000000,116.811771,636.799170,726.436163,0.979856,0.948541,0.004060,-3.000000,-3.000000,0.672497,106.000000,123.000000,57.130986,656.549542,724.691633,138.000000,139.000000,68.907391,667.531876,730.005497,0.802193,12.200362,0.052222,-32.000000,-16.000000,-11.776405,0.549107,0.612335,-0.063228,0.236474,0.347983,-0.111509,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,224.000000,117.484268,637.280960,725.619090,243.000000,227.000000,118.932984,635.479882,722.626626,0.972756,3.492668,0.014683,3.000000,-3.000000,-1.448716,106.000000,123.000000,57.130986,656.549542,724.691633,147.000000,131.000000,68.061471,659.053391,721.817907,0.826460,3.811504,0.016024,-41.000000,-8.000000,-10.930484,0.549107,0.577093,-0.027985,0.236474,0.327490,-0.091016,0.000000,
test_bosch_p10_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,224.000000,117.484268,637.280960,725.619090,254.000000,231.000000,120.888069,636.193418,726.495894,0.960425,1.396973,0.005778,-8.000000,-7.000000,-3.403801,106.000000,123.000000,57.130986,656.549542,724.691633,114.000000,126.000000,59.913109,645.307972,727.347078,0.866657,11.550943,0.047775,-8.000000,-3.000000,-2.782123,0.549107,0.545455,0.003653,0.236474,0.245627,-0.009153,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,223.000000,105.740026,716.341257,834.021807,198.000000,227.000000,104.429953,713.363708,836.495578,0.964013,3.871090,0.018534,4.000000,-4.000000,1.310073,90.000000,101.000000,47.095470,730.324340,838.940442,95.000000,114.000000,52.174574,733.653531,837.971469,0.881057,3.467337,0.016601,-5.000000,-13.000000,-5.079104,0.452915,0.502203,-0.049288,0.198372,0.249613,-0.051242,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,223.000000,105.740026,716.341257,834.021807,200.000000,221.000000,104.457382,716.723125,832.741183,0.977221,1.336347,0.006397,2.000000,2.000000,1.282644,90.000000,101.000000,47.095470,730.324340,838.940442,115.000000,151.000000,66.686636,725.128624,832.547062,0.665552,8.238372,0.039434,-25.000000,-50.000000,-19.591166,0.452915,0.683258,-0.230343,0.198372,0.407567,-0.209196,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,223.000000,105.740026,716.341257,834.021807,195.000000,224.000000,104.379647,716.272905,836.057614,0.974681,2.036954,0.009757,7.000000,-1.000000,1.360378,90.000000,101.000000,47.095470,730.324340,838.940442,107.000000,113.000000,54.598279,740.072290,840.006300,0.837201,9.806049,0.046973,-17.000000,-12.000000,-7.502809,0.452915,0.504464,-0.051549,0.198372,0.273606,-0.075235,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,223.000000,105.740026,716.341257,834.021807,206.000000,222.000000,106.174124,715.261669,832.004631,0.975092,2.287906,0.010774,-4.000000,1.000000,-0.434098,90.000000,101.000000,47.095470,730.324340,838.940442,100.000000,129.000000,55.408473,730.611405,844.867392,0.835972,5.933898,0.027944,-10.000000,-28.000000,-8.313003,0.452915,0.581081,-0.128166,0.198372,0.272342,-0.073971,0.000000,
test_bosch_p11_image1,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,223.000000,105.740026,716.341257,834.021807,190.000000,242.000000,106.968619,714.964142,836.336607,0.957326,2.693463,0.012590,12.000000,-19.000000,-1.228593,90.000000,101.000000,47.095470,730.324340,838.940442,90.000000,129.000000,53.793635,725.280387,838.011110,0.843888,5.128851,0.023974,0.000000,-28.000000,-6.698165,0.452915,0.533058,-0.080143,0.198372,0.252900,-0.054529,0.000000,
test_bosch_p11_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,224.000000,104.761666,886.652455,794.248325,195.000000,225.000000,104.524400,882.823092,793.956764,0.968576,3.840446,0.018371,7.000000,-1.000000,0.237265,90.000000,91.000000,47.542807,896.437262,795.596113,101.000000,118.000000,53.858685,901.511028,802.428509,0.852473,8.510272,0.040709,-11.000000,-27.000000,-6.315878,0.406250,0.524444,-0.118194,0.205951,0.265507,-0.059556,0.000000,
test_bosch_p11_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,224.000000,104.761666,886.652455,794.248325,197.000000,228.000000,106.525806,884.156550,792.868022,0.969784,2.852153,0.013387,5.000000,-4.000000,-1.764141,90.000000,91.000000,47.542807,896.437262,795.596113,116.000000,132.000000,60.249531,895.619432,788.930463,0.767468,6.715634,0.031521,-26.000000,-41.000000,-12.706724,0.406250,0.578947,-0.172697,0.205951,0.319888,-0.113936,0.000000,
test_bosch_p11_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,224.000000,104.761666,886.652455,794.248325,194.000000,225.000000,104.916510,886.737688,794.036754,0.982508,0.228094,0.001087,8.000000,-1.000000,-0.154845,90.000000,91.000000,47.542807,896.437262,795.596113,100.000000,105.000000,50.845972,908.580522,796.014282,0.824016,12.150458,0.057905,-10.000000,-14.000000,-3.303165,0.406250,0.466667,-0.060417,0.205951,0.234869,-0.028917,0.000000,
