key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.488888,0.584715,0.594757,0.575226,0.597096,0.666893,65.000000,68.000000,138.000000,30784,45595,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.521464,0.637886,0.676789,0.532750,0.633257,0.703659,51.000000,81.000000,119.000000,24016,46823,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.305402,0.535883,0.525836,0.306010,0.527709,0.548695,39.000000,51.000000,82.000000,8271,25721,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.490953,0.528943,0.582378,0.480944,0.497233,0.569557,63.000000,59.000000,117.000000,16653,33150,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.478964,0.570038,0.604522,0.458644,0.552864,0.603414,116.000000,176.000000,311.000000,35978,54752,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.515241,0.542718,0.607327,0.591915,0.593784,0.700963,104.000000,175.000000,260.000000,36403,53729,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.399831,0.516905,0.594210,0.417209,0.552734,0.663881,34.000000,71.000000,103.000000,15052,43905,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.477723,0.625857,0.659648,0.488108,0.614209,0.691361,89.000000,89.000000,173.000000,27791,53525,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.513376,0.629656,0.632291,0.533672,0.594464,0.637535,114.000000,86.000000,195.000000,26618,56006,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.608516,0.612819,0.677317,0.621781,0.652099,0.737308,79.000000,76.000000,151.000000,26798,35689,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.446760,0.638924,0.624180,0.482782,0.634467,0.659392,105.000000,123.000000,212.000000,23390,47347,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.464675,0.451722,0.509789,0.520304,0.447541,0.542235,91.000000,126.000000,217.000000,21531,40919,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.536204,0.594289,0.628388,0.515831,0.606688,0.655464,42.000000,80.000000,122.000000,22077,39853,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.483983,0.558572,0.585534,0.525537,0.599061,0.654444,76.000000,95.000000,165.000000,30120,40982,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.578574,0.665358,0.690156,0.619085,0.650960,0.724325,72.000000,57.000000,117.000000,28292,49328,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.437747,0.631188,0.618936,0.461067,0.635199,0.656319,101.000000,78.000000,157.000000,27737,48773,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.420984,0.737385,0.665233,0.457520,0.778888,0.712231,58.000000,63.000000,107.000000,12633,45642,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.271282,0.609497,0.557796,0.280977,0.593503,0.553537,66.000000,65.000000,117.000000,9815,36094,25543,43739,
im000938,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.396177,0.563822,0.572963,0.417329,0.539088,0.588296,40.000000,75.000000,104.000000,11948,35989,31679,51457,
im001031,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.197258,0.465529,0.380419,0.286126,0.498053,0.431367,26.000000,46.000000,82.000000,5836,20553,43612,58179,
im001032,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.197258,0.465529,0.380419,0.286126,0.498053,0.431367,26.000000,46.000000,82.000000,5836,20553,43612,58179,
im001034,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.000584,0.094162,0.058859,0.000000,0.126926,0.081238,9.000000,39.000000,54.000000,18,4358,34210,48657,
im001069,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.507429,0.646070,0.633868,0.541836,0.666395,0.671799,47.000000,58.000000,96.000000,22029,41083,53619,59643,
im001070,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.368197,0.556056,0.526692,0.449369,0.570046,0.587576,54.000000,88.000000,141.000000,18199,34022,56674,66360,
im001096,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.507316,0.662797,0.630837,0.581207,0.668092,0.686885,60.000000,59.000000,113.000000,33239,49903,72356,71567,
im001097,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.490419,0.644005,0.622939,0.567452,0.621784,0.674655,44.000000,79.000000,108.000000,28517,44655,66569,62518,
im001126,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.384030,0.606199,0.557849,0.383413,0.593198,0.558226,45.000000,66.000000,113.000000,15535,40061,48762,68316,
